YOU	ZERO-DAY THREATS	none	none
revolutionary AI engines	best2 zero-day protection	instance	hypernym
Trojans	cyberattacks	concept	hypernym
phishing	cyberattacks	hypernym	hypernym
phishing	social engineering	instance	hypernym
cyberattacks	unknown ransomware	instance	hypernym
advanced email protections	pre-emptive user protections	none	hypernym
Pre-emptive User Protections	advanced email protections	hyponym	hypernym
Click-Time Protection	rules-based engines	none	hypernym
antiphishing	zero day protection	none	hypernym
guest network	network segment	hypernym	hypernym
perimeter	network segment	hypernym	hypernym
elevators	Endpoint security	hyponym	hypernym
HVAC systems	Endpoint security	hyponym	hypernym
cameras	Endpoint security	hyponym	hypernym
evasion-resistant threat emulation	best2 zero-day protection	concept	hypernym
best2 zero-day protection	threat extraction	concept	hyponym
pre-emptive user protections	threat extraction	hypernym	hyponym
Pre-emptive User Protections	threat extraction	hypernym	hyponym
rules-based engines	Threat Emulation	none	hyponym
rules-based engines	URL reputation	none	hyponym
rules-based engines	AI-based phishing protection	none	hyponym
rules-based engines	AI-based fraud protection	none	hyponym
network segment	internal network etc	hypernym	hyponym
malware	malware families	hypernym	hyponym
rules-based engines	Natural Language Processing	none	hyponym
malware	zero-day phishing	instance	none
zero-day malware	zero-day phishing and social engineering attacks	instance	none
"anti-virus, firewalls"	other core security solutions	instance	none
Conventional sandboxing solutions	malware evasion techniques	hypernym	none
HVAC systems	enterprise IoT	none	none
elevators	enterprise IoT	hyponym	none
cameras	enterprise IoT	instance	none
phishing	devastating attacks	instance	none
other email-based threats	worldwide breaches3	none	none
social engineering	worldwide breaches3	none	none
phishing	worldwide breaches3	instance	none
threats	risk	hypernym	none
Threat Emulation	multiple innovative technologies	hypernym	none
URL reputation	multiple innovative technologies	none	none
AI-based fraud protection	multiple innovative technologies	none	none
Click-Time Protection	multiple innovative technologies	none	none
documents	file types	none	none
executables	file types	hypernym	none
defense	Endpoint security	hyponym	none
devastating attacks	unknown ransomware	instance	none
devastating attacks	Trojans	hypernym	none
devastating attacks	social engineering	hypernym	none
devastating attacks	cyberattacks	hypernym	none
largest repository	ThreatCloud – Dynamic Threat Intelligence Repository	none	none
zero-day malware	"8,3001 new, previously undiscovered cyber attacks"	concept	none
zero-day phishing and social engineering attacks	"8,3001 new, previously undiscovered cyber attacks"	hypernym	none
network	other core security solutions	hyponym	none
"anti-virus, firewalls"	network	hypernym	none
associated file signatures	"anti-virus, firewalls"	hypernym	none
associated file signatures	network	hypernym	none
associated file signatures	other core security solutions	hypernym	none
half	fact	hypernym	none
best AV solutions	half	hypernym	none
best AV solutions	fact	hypernym	none
fact	malware strains	instance	none
best AV solutions	wild	hypernym	none
wild	half	none	none
wild	malware strains	hyponym	none
wild	fact	hypernym	none
half	malware strains	hyponym	none
best AV solutions	malware strains	concept	none
compromise	existing indicators	instance	none
existing indicators	IOCs	none	none
existing indicators	what	concept	none
COMMON NETWORK SECURITY APPROACHES	LIMITATIONS	hypernym	none
COMMON NETWORK SECURITY APPROACHES	IOCs	hypernym	none
you	what	none	none
existing indicators	LIMITATIONS	hypernym	none
you	existing indicators	none	none
LIMITATIONS	what	hypernym	none
COMMON NETWORK SECURITY APPROACHES	existing indicators	hypernym	none
compromise	COMMON NETWORK SECURITY APPROACHES	hyponym	none
compromise	what	hypernym	none
COMMON NETWORK SECURITY APPROACHES	you	hypernym	none
you	LIMITATIONS	none	none
compromise	LIMITATIONS	hypernym	none
what	IOCs	none	none
COMMON NETWORK SECURITY APPROACHES	what	hypernym	none
you	IOCs	none	none
LIMITATIONS	IOCs	instance	none
compromise	you	hypernym	none
compromise	IOCs	instance	none
several approaches	organizations	hypernym	none
several approaches	zero-day threats	hyponym	none
organizations	zero-day threats	hyponym	none
analysis	Conventional sandboxing solutions	hyponym	none
network	malware evasion techniques	hyponym	none
malware	network	hypernym	none
malware	malware evasion techniques	hyponym	none
analysis	network	hypernym	none
analysis	malware evasion techniques	hyponym	none
malware	analysis	hypernym	none
analysis	default	hypernym	none
Conventional sandboxing solutions	default	hypernym	none
malware evasion techniques	default	hypernym	none
network	default	hypernym	none
malware	Conventional sandboxing solutions	hyponym	none
malware	default	hypernym	none
Conventional sandboxing solutions	network	hypernym	none
only line	dedicated servers	none	none
advantages	defense	hypernym	none
cameras	dedicated servers	instance	none
HVAC systems	cameras	none	none
elevators	dedicated servers	hyponym	none
enterprise IoT	datacenters	hypernym	none
datacenters	dedicated servers	hyponym	none
advantages	Endpoint security	hyponym	none
network perimeter	dedicated servers	instance	none
network perimeter	enterprise IoT	instance	none
only line	advantages	hypernym	none
enterprise IoT	Endpoint security	hyponym	none
cameras	advantages	hypernym	none
defense	dedicated servers	none	none
advantages	enterprise IoT	hyponym	none
HVAC systems	datacenters	concept	none
datacenters	Endpoint security	hyponym	none
defense	enterprise IoT	none	none
network perimeter	cameras	hypernym	none
HVAC systems	elevators	none	none
elevators	defense	hypernym	none
elevators	cameras	hypernym	none
HVAC systems	only line	none	none
advantages	dedicated servers	hypernym	none
network perimeter	elevators	hypernym	none
network perimeter	HVAC systems	instance	none
HVAC systems	defense	hypernym	none
only line	cameras	none	none
enterprise IoT	dedicated servers	hyponym	none
Endpoint security	dedicated servers	hypernym	none
elevators	only line	none	none
network perimeter	only line	hypernym	none
only line	datacenters	hypernym	none
cameras	datacenters	hypernym	none
network perimeter	advantages	concept	none
HVAC systems	dedicated servers	none	none
elevators	datacenters	hypernym	none
only line	enterprise IoT	none	none
network perimeter	datacenters	hyponym	none
elevators	advantages	hypernym	none
only line	Endpoint security	hyponym	none
defense	datacenters	hypernym	none
advantages	datacenters	hyponym	none
HVAC systems	advantages	hypernym	none
network perimeter	Endpoint security	hyponym	none
cameras	defense	hypernym	none
only line	defense	concept	none
network perimeter	defense	hypernym	none
damage	detection-first strategy	instance	none
damage	incident response	none	none
incident response	detection-first strategy	instance	none
you	zero-day threats	hyponym	none
you	such critical limitations	none	none
zero-day threats	such critical limitations	none	none
network	zero-day threats	hyponym	none
you	network	concept	none
network	such critical limitations	instance	none
CHECK POINT	SANDBLAST NETWORK	none	none
ZERO-DAY PROTECTION	SANDBLAST NETWORK	instance	none
ZERO-DAY PROTECTION	CHECK POINT	hypernym	none
CHECK POINT	NUMBER	hypernym	none
ZERO-DAY PROTECTION	NUMBER	hypernym	none
NUMBER	SANDBLAST NETWORK	none	none
SandBlast Network	world	hypernym	none
Check Point	world	hypernym	none
SandBlast Network	Check Point	hypernym	none
revolutionary AI engines	email and web downloads	none	none
best2 zero-day protection	email and web downloads	hypernym	none
revolutionary AI engines	threat extraction	none	none
combination	best2 zero-day protection	none	none
threat extraction	email and web downloads	hypernym	none
evasion-resistant threat emulation	combination	hypernym	none
combination	email and web downloads	hypernym	none
evasion-resistant threat emulation	email and web downloads	concept	none
combination	threat extraction	hypernym	none
combination	revolutionary AI engines	none	none
evasion-resistant threat emulation	threat extraction	hypernym	none
evasion-resistant threat emulation	revolutionary AI engines	concept	none
prevention-first strategy	cyberattacks	concept	none
cyberattacks	social engineering	hyponym	none
SandBlast Network	prevention-first strategy	none	none
prevention-first strategy	organizations	hypernym	none
SandBlast Network	organizations	hypernym	none
cyberattacks	organizations	instance	none
social engineering	organizations	instance	none
SandBlast Network	phishing	hypernym	none
phishing	Trojans	instance	none
Trojans	social engineering	concept	none
devastating attacks	organizations	hypernym	none
SandBlast Network	cyberattacks	hypernym	none
SandBlast Network	devastating attacks	none	none
unknown ransomware	social engineering	hypernym	none
SandBlast Network	social engineering	concept	none
phishing	organizations	instance	none
unknown ransomware	organizations	hypernym	none
Trojans	organizations	hypernym	none
prevention-first strategy	Trojans	concept	none
phishing	unknown ransomware	hyponym	none
prevention-first strategy	unknown ransomware	concept	none
phishing	prevention-first strategy	instance	none
SandBlast Network	Trojans	hypernym	none
devastating attacks	prevention-first strategy	none	none
prevention-first strategy	social engineering	concept	none
SandBlast Network	unknown ransomware	concept	none
Trojans	unknown ransomware	instance	none
current infrastructure	automated policy configuration	hyponym	none
current infrastructure	agility	hypernym	none
agility	automated policy configuration	instance	none
business productivity	agility	hypernym	none
SandBlast Network	current infrastructure	none	none
SandBlast Network	agility	hypernym	none
SandBlast Network	automated policy configuration	none	none
business productivity	automated policy configuration	hyponym	none
current infrastructure	business productivity	none	none
SandBlast Network	business productivity	none	none
SandBlast Network	record speed	none	none
world’s best malware catch rate	record speed	concept	none
world’s best malware catch rate	"numerous innovative, proprietary technologies"	hypernym	none
world’s best malware catch rate	SandBlast Network	instance	none
"numerous innovative, proprietary technologies"	SandBlast Network	none	none
"numerous innovative, proprietary technologies"	record speed	none	none
vast network	revolutionary AI	hypernym	none
revolutionary AI	non-AI engines	none	none
non-AI engines	pre-emptive user protections	none	none
revolutionary AI	pre-emptive user protections	none	none
vast network	non-AI engines	instance	none
vast network	pre-emptive user protections	hypernym	none
pre-emptive user protections	moment	hypernym	none
revolutionary AI	moment	none	none
non-AI engines	moment	hypernym	none
vast network	moment	hypernym	none
users	web	hypernym	none
Pre-emptive User Protections	email	hypernym	none
advanced email protections	users	hypernym	none
advanced email protections	web	hypernym	none
SandBlast network	users	concept	none
users	pre-emptive user protections	hyponym	none
SandBlast network	web	hypernym	none
web	threat extraction	hyponym	none
SandBlast network	pre-emptive user protections	none	none
SandBlast network	threat extraction	hypernym	none
Pre-emptive User Protections	SandBlast network	none	none
email	threat extraction	hyponym	none
advanced email protections	threat extraction	hypernym	none
SandBlast network	email	hypernym	none
users	threat extraction	none	none
advanced email protections	email	hypernym	none
email	web	hypernym	none
email	users	hypernym	none
Pre-emptive User Protections	web	hypernym	none
web	pre-emptive user protections	hyponym	none
Pre-emptive User Protections	users	hypernym	none
advanced email protections	SandBlast network	instance	none
Pre-emptive User Protections	pre-emptive user protections	none	none
email	pre-emptive user protections	hyponym	none
SandBlast Threat Extraction	web	hypernym	none
SandBlast Threat Extraction	malicious files	concept	none
web	malicious files	hypernym	none
email	clean and reconstructed versions	instance	none
web	clean and reconstructed versions	instance	none
malicious files	clean and reconstructed versions	instance	none
email	malicious files	hypernym	none
email	SandBlast Threat Extraction	instance	none
SandBlast Threat Extraction	clean and reconstructed versions	none	none
unacceptable delays	malicious content	hypernym	none
traditional sandboxes	users	hypernym	none
emulation	first strategy	hypernym	none
traditional sandboxes	first strategy	hypernym	none
emulation	practical prevention	hypernym	none
background	emulation	hypernym	none
background	practical prevention	none	none
unacceptable delays	traditional sandboxes	hypernym	none
unacceptable delays	users	hypernym	none
malicious content	users	none	none
background	SandBlast Threat Extraction	none	none
background	traditional sandboxes	none	none
background	malicious content	none	none
first strategy	SandBlast Threat Extraction	none	none
unacceptable delays	first strategy	hypernym	none
malicious content	uninterrupted business flow	instance	none
SandBlast Threat Extraction	uninterrupted business flow	none	none
unacceptable delays	emulation	hypernym	none
users	practical prevention	instance	none
emulation	malicious content	hypernym	none
traditional sandboxes	uninterrupted business flow	instance	none
unacceptable delays	SandBlast Threat Extraction	instance	none
first strategy	uninterrupted business flow	instance	none
malicious content	SandBlast Threat Extraction	none	none
uninterrupted business flow	practical prevention	instance	none
background	users	none	none
first strategy	practical prevention	hypernym	none
background	first strategy	none	none
traditional sandboxes	emulation	hypernym	none
traditional sandboxes	practical prevention	hypernym	none
unacceptable delays	background	hypernym	none
first strategy	users	hypernym	none
unacceptable delays	uninterrupted business flow	none	none
emulation	users	hypernym	none
SandBlast Threat Extraction	practical prevention	hypernym	none
unacceptable delays	practical prevention	none	none
users	uninterrupted business flow	instance	none
malicious content	practical prevention	instance	none
SandBlast Threat Extraction	users	hypernym	none
traditional sandboxes	SandBlast Threat Extraction	none	none
traditional sandboxes	malicious content	concept	none
first strategy	malicious content	hypernym	none
emulation	SandBlast Threat Extraction	instance	none
background	uninterrupted business flow	none	none
emulation	uninterrupted business flow	instance	none
SandBlast Threat Extraction	industry	hypernym	none
web downloads	industry	hypernym	none
integrated document and image sanitization solution	industry	hypernym	none
email	industry	hypernym	none
integrated document and image sanitization solution	email	hypernym	none
integrated document and image sanitization solution	SandBlast Threat Extraction	none	none
web downloads	email	hypernym	none
integrated document and image sanitization solution	web downloads	hypernym	none
web downloads	SandBlast Threat Extraction	instance	none
other email-based threats	phishing	hypernym	none
94%	worldwide breaches3	none	none
phishing	emails	hypernym	none
94%	emails	hypernym	none
other email-based threats	BEC	hypernym	none
other email-based threats	emails	hypernym	none
BEC	worldwide breaches3	none	none
94%	other email-based threats	none	none
social engineering	emails	hypernym	none
94%	social engineering	concept	none
worldwide breaches3	emails	hypernym	none
BEC	emails	hypernym	none
other email-based threats	social engineering	hypernym	none
94%	BEC	none	none
phishing	BEC	instance	none
BEC	social engineering	none	none
94%	phishing	concept	none
SandBlast Network	text	hypernym	none
email links	aspects	hypernym	none
email links	email attachments	instance	none
aspects	recipient details	instance	none
email links	users	instance	none
recipient details	incoming email	hypernym	none
email messages	text	hypernym	none
SandBlast Network	recipient details	none	none
email links	incoming email	hyponym	none
email attachments	recipient details	instance	none
Threat Extraction	recipient details	none	none
’ mailbox	users	hypernym	none
users	email attachments	instance	none
email messages	email links	hyponym	none
sender	risk	hypernym	none
email messages	email attachments	hyponym	none
email messages	aspects	hypernym	none
text	incoming email	hyponym	none
users	risk	hypernym	none
SandBlast Network	incoming email	hypernym	none
threats	Threat Extraction	hyponym	none
Threat Extraction	users	hypernym	none
threats	’ mailbox	hypernym	none
aspects	risk	hypernym	none
’ mailbox	email attachments	hyponym	none
threats	sender	hypernym	none
’ mailbox	email links	hyponym	none
SandBlast Network	email attachments	hypernym	none
text	aspects	hypernym	none
email attachments	risk	hypernym	none
SandBlast Network	aspects	hypernym	none
aspects	email attachments	hypernym	none
text	sender	hypernym	none
SandBlast Network	sender	hypernym	none
Threat Extraction	risk	hypernym	none
email messages	incoming email	hyponym	none
aspects	sender	instance	none
’ mailbox	sender	hypernym	none
threats	recipient details	hyponym	none
’ mailbox	recipient details	hyponym	none
threats	text	hypernym	none
threats	incoming email	hyponym	none
recipient details	risk	hypernym	none
email messages	sender	hypernym	none
email attachments	sender	instance	none
threats	users	hypernym	none
text	recipient details	none	none
SandBlast Network	’ mailbox	hypernym	none
’ mailbox	incoming email	hyponym	none
sender	incoming email	hyponym	none
email messages	SandBlast Network	instance	none
threats	aspects	hypernym	none
text	risk	instance	none
users	incoming email	hypernym	none
’ mailbox	Threat Extraction	hyponym	none
SandBlast Network	email links	hypernym	none
aspects	incoming email	hyponym	none
text	users	hypernym	none
users	aspects	none	none
SandBlast Network	Threat Extraction	hypernym	none
email links	recipient details	hypernym	none
email attachments	incoming email	hyponym	none
threats	email attachments	hyponym	none
email messages	’ mailbox	hypernym	none
users	sender	instance	none
’ mailbox	aspects	hypernym	none
email links	risk	hypernym	none
text	Threat Extraction	hyponym	none
Threat Extraction	sender	hypernym	none
text	email attachments	instance	none
email links	text	hypernym	none
sender	recipient details	none	none
email messages	users	hypernym	none
threats	email links	hyponym	none
Threat Extraction	aspects	hypernym	none
’ mailbox	text	hypernym	none
SandBlast Network	risk	hypernym	none
email messages	Threat Extraction	hyponym	none
risk	incoming email	hypernym	none
threats	email messages	hyponym	none
email links	Threat Extraction	hyponym	none
Threat Extraction	email attachments	hypernym	none
users	recipient details	instance	none
threats	SandBlast Network	hyponym	none
SandBlast Network	users	concept	none
’ mailbox	risk	hypernym	none
email messages	recipient details	hyponym	none
Threat Extraction	incoming email	hypernym	none
email messages	risk	hypernym	none
email links	sender	hypernym	none
URL reputation	malicious links	hypernym	none
Click-Time Protection	clicks	hypernym	none
rules-based engines	links	hypernym	none
clicks	Threat Emulation	none	none
over 300 parameters	AI-based fraud protection	none	none
over 300 parameters	email	instance	none
over 300 parameters	clicks	hypernym	none
Click-Time Protection	SandBlast Network	none	none
end	URL reputation	hyponym	none
end	multiple innovative technologies	none	none
clicks	malicious links	hyponym	none
email	Threat Emulation	hyponym	none
rules-based engines	NLP	hypernym	none
email	Natural Language Processing	hyponym	none
email	AI-based fraud protection	hyponym	none
links	Threat Emulation	hyponym	none
email	NLP	instance	none
Click-Time Protection	Threat Emulation	none	none
real time	URL reputation	none	none
real time	multiple innovative technologies	none	none
NLP	links	hypernym	none
Natural Language Processing	end	hypernym	none
NLP	Natural Language Processing	hyponym	none
Click-Time Protection	AI-based phishing protection	none	none
over 300 parameters	Threat Emulation	hypernym	none
links	URL reputation	hyponym	none
links	multiple innovative technologies	hyponym	none
real time	Natural Language Processing	none	none
real time	Threat Emulation	none	none
over 300 parameters	real time	hypernym	none
Click-Time Protection	over 300 parameters	none	none
email	links	hypernym	none
links	end	hypernym	none
over 300 parameters	rules-based engines	instance	none
over 300 parameters	NLP	hypernym	none
SandBlast Network	links	hypernym	none
AI-based fraud protection	NLP	hypernym	none
over 300 parameters	end	none	none
NLP	AI-based phishing protection	hyponym	none
AI-based fraud protection	URL reputation	hypernym	none
Natural Language Processing	multiple innovative technologies	hypernym	none
URL reputation	Threat Emulation	hypernym	none
malicious links	multiple innovative technologies	hypernym	none
Click-Time Protection	links	hypernym	none
AI-based phishing protection	malicious links	hypernym	none
SandBlast Network	AI-based fraud protection	none	none
SandBlast Network	clicks	hypernym	none
real time	AI-based phishing protection	hyponym	none
email	AI-based phishing protection	hyponym	none
email	clicks	instance	none
over 300 parameters	malicious links	hypernym	none
malicious links	Threat Emulation	hypernym	none
clicks	end	hypernym	none
SandBlast Network	AI-based phishing protection	hyponym	none
real time	clicks	none	none
real time	AI-based fraud protection	none	none
AI-based fraud protection	malicious links	hypernym	none
real time	email	hypernym	none
real time	malicious links	hyponym	none
real time	links	none	none
rules-based engines	multiple innovative technologies	instance	none
NLP	URL reputation	hyponym	none
NLP	multiple innovative technologies	instance	none
Natural Language Processing	malicious links	hypernym	none
AI-based fraud protection	clicks	hypernym	none
Click-Time Protection	AI-based fraud protection	none	none
Click-Time Protection	NLP	hypernym	none
Click-Time Protection	email	hypernym	none
rules-based engines	email	hypernym	none
Natural Language Processing	Threat Emulation	hypernym	none
Click-Time Protection	Natural Language Processing	none	none
SandBlast Network	rules-based engines	none	none
Click-Time Protection	end	hypernym	none
SandBlast Network	URL reputation	hypernym	none
over 300 parameters	links	hypernym	none
SandBlast Network	multiple innovative technologies	none	none
email	end	hypernym	none
clicks	URL reputation	none	none
rules-based engines	malicious links	hypernym	none
clicks	multiple innovative technologies	none	none
over 300 parameters	Natural Language Processing	none	none
real time	end	hypernym	none
AI-based phishing protection	URL reputation	hypernym	none
Click-Time Protection	URL reputation	none	none
SandBlast Network	end	hypernym	none
AI-based phishing protection	multiple innovative technologies	hypernym	none
