kid	heart	none	none
cheesy slice	best pizza	hypernym	none
last slice	vegetarians	none	none
pizza slice	vegetarians	hypernym	none
pizza slice	last slice	hypernym	none
chicken tikka-	crisp capsicum	hyponym	none
chicken tikka-	grilled mushroom	hyponym	none
chicken tikka-	onion	hypernym	none
grilled mushroom	extra cheese	hypernym	none
black olives	pizza	hypernym	none
non-veg toppings	grilled mushroom	none	none
non-veg toppings	crisp capsicum	hyponym	none
toppings - from paneer	pizza	hypernym	none
non-veg toppings	extra cheese	none	none
chicken tikka-	peri-peri chicken	hyponym	none
toppings - from paneer	onion	hypernym	none
non-veg toppings	peri-peri chicken	hyponym	none
toppings - from paneer	jalapeno	hypernym	none
chicken tikka-	jalapeno	hypernym	none
chicken tikka-	toppings - from paneer	hyponym	none
toppings - from paneer	crisp capsicum	hyponym	none
non-veg toppings	black olives	none	none
crisp capsicum	pizza	hypernym	none
non-veg toppings	onion	none	none
chicken tikka-	non-veg toppings	hyponym	none
non-veg toppings	pizza	hypernym	none
grilled mushroom	crisp capsicum	hyponym	none
grilled mushroom	onion	hypernym	none
non-veg toppings	fresh tomato	hypernym	none
crisp capsicum	peri-peri chicken	hyponym	none
extra cheese	black olives	hyponym	none
crisp capsicum	fresh tomato	none	none
grilled mushroom	peri-peri chicken	hyponym	none
chicken sausage	pizza	hypernym	none
crisp capsicum	black olives	none	none
extra cheese	peri-peri chicken	hyponym	none
grilled mushroom	black olives	none	none
chicken sausage	extra cheese	hyponym	none
extra cheese	crisp capsicum	hyponym	none
chicken sausage	toppings - from paneer	hyponym	none
toppings - from paneer	peri-peri chicken	hyponym	none
extra cheese	onion	none	none
chicken tikka-	pizza	hypernym	none
chicken sausage	fresh tomato	none	none
onion	peri-peri chicken	hyponym	none
toppings - from paneer	black olives	none	none
jalapeno	fresh tomato	hyponym	none
onion	fresh tomato	none	none
extra cheese	pizza	hypernym	none
pizza	peri-peri chicken	hyponym	none
onion	black olives	none	none
chicken sausage	grilled mushroom	hyponym	none
chicken tikka-	chicken sausage	hyponym	none
grilled mushroom	jalapeno	hypernym	none
fresh tomato	black olives	none	none
toppings - from paneer	fresh tomato	hypernym	none
non-veg toppings	jalapeno	hypernym	none
crisp capsicum	onion	none	none
toppings - from paneer	extra cheese	hypernym	none
chicken tikka-	extra cheese	hyponym	none
jalapeno	extra cheese	hyponym	none
grilled mushroom	pizza	hypernym	none
chicken sausage	peri-peri chicken	hyponym	none
chicken sausage	black olives	none	none
fresh tomato	peri-peri chicken	hyponym	none
grilled mushroom	fresh tomato	hypernym	none
chicken sausage	onion	none	none
toppings - from paneer	grilled mushroom	hypernym	none
onion	pizza	hypernym	none
jalapeno	black olives	none	none
fresh tomato	pizza	none	none
jalapeno	peri-peri chicken	hyponym	none
chicken sausage	jalapeno	hypernym	none
jalapeno	crisp capsicum	hyponym	none
chicken sausage	crisp capsicum	hyponym	none
chicken sausage	non-veg toppings	hyponym	none
chicken tikka-	fresh tomato	hyponym	none
jalapeno	onion	none	none
black olives	peri-peri chicken	hyponym	none
non-veg toppings	toppings - from paneer	hyponym	none
extra cheese	fresh tomato	hyponym	none
chicken tikka-	black olives	hyponym	none
jalapeno	pizza	hyponym	none
New hand-tossed crust	wheat thin crust	hyponym	none
fresh pan pizza	wheat thin crust	hyponym	none
fresh pan pizza	New hand-tossed crust	hyponym	none
fresh pan pizza	cheese	hypernym	none
classic hand-tossed crust	wheat thin crust	hyponym	none
New hand-tossed crust	cheese	hypernym	none
New hand-tossed crust	classic hand-tossed crust	hyponym	none
fresh pan pizza	classic hand-tossed crust	hyponym	none
classic hand-tossed crust	cheese	hypernym	none
cheese	wheat thin crust	hyponym	none
Domino	pizza	none	none
toppings	Pizza	hypernym	none
custom pizzas	Pizza	hypernym	none
crust styles	toppings	none	none
custom pizzas	toppings	hypernym	none
crust styles	Pizza	hypernym	none
custom pizzas	crust styles	none	none
bread bowls	pasta	hypernym	none
desserts	beverages	none	none
desserts	menu	none	none
beverages	menu	none	none